prof_id,firstName,lastName,class,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci0zMjE3NzY=,Lois,Boynton,JOMC,1,5,3,False,False,
VGVhY2hlci0zMjE3NzY=,Lois,Boynton,PRWRIT,1,5,4,False,False,
VGVhY2hlci0zMjE3NzY=,Lois,Boynton,INTROTOPR,1,4,4,False,False,
VGVhY2hlci0zMjE3NzY=,Lois,Boynton,PR,1,5,3,False,False,
VGVhY2hlci0zMjE3NzY=,Lois,Boynton,JOMC131,1,3,3,False,False,
VGVhY2hlci0zMjE3NzY=,Lois,Boynton,J141,1,5,3,False,False,
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,CHIN346,9,3.444,2.333,True,False,85.71
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,CHIN252,13,3.615,3.308,True,False,88.89
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,CHIN476,1,4,3,True,False,100.0
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,ASIA65,13,3.154,2.154,True,False,44.44
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,CHIN253,8,3.625,2.125,True,False,71.43
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,CHIN510,1,1,1,True,False,
VGVhY2hlci0xOTM4NzQ2,Uffe,Bergeton,CHIN 346,1,4,2,True,False,
VGVhY2hlci0yMjk3Mjkz,Anastacia,Kohl,SPAN203,9,5,3.111,True,False,100.0
VGVhY2hlci0yMjk3Mjkz,Anastacia,Kohl,SPAN204,27,4.963,2.63,True,False,100.0
VGVhY2hlci0yMjk3Mjkz,Anastacia,Kohl,SPAN102,2,5,2.5,True,False,100.0
VGVhY2hlci0yMjk3Mjkz,Anastacia,Kohl,SPAN100,4,4.5,2.5,True,False,100.0
VGVhY2hlci0yNTQyNDAx,Nazanin,Knudsen,MEJO121,37,4.027,3,True,False,81.82
VGVhY2hlci0yNTQyNDAx,Nazanin,Knudsen,MEJO333,2,5,3.5,False,False,100.0
VGVhY2hlci0yNjQwNjU0,Suzanne,Lye,CLAS131,26,2.269,3.308,True,False,100.0
VGVhY2hlci0yNjQwNjU0,Suzanne,Lye,CLAS243,5,4.8,2.8,True,False,100.0
VGVhY2hlci0yNjQwNjU0,Suzanne,Lye,CLAS59,7,5,2.714,True,False,100.0
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ARTH151,6,4,3.167,True,False,83.33
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ART277,7,3.429,4,True,False,60.0
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ART151,7,4,3.143,False,False,100.0
